2014-12-11 03:59:54 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-12-11 03:59:54 install libpam0g:i386 <none> 1.1.8-1ubuntu2
2014-12-11 03:59:54 status half-installed libpam0g:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2014-12-11 03:59:54 install libpcre3:i386 <none> 1:8.31-2ubuntu2
2014-12-11 03:59:54 status half-installed libpcre3:i386 1:8.31-2ubuntu2
2014-12-11 03:59:54 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2014-12-11 03:59:54 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2014-12-11 03:59:54 install libplymouth2:i386 <none> 0.8.8-0ubuntu17
2014-12-11 03:59:54 status half-installed libplymouth2:i386 0.8.8-0ubuntu17
2014-12-11 03:59:54 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2014-12-11 03:59:54 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2014-12-11 03:59:54 install libpng12-0:i386 <none> 1.2.50-1ubuntu2
2014-12-11 03:59:54 status half-installed libpng12-0:i386 1.2.50-1ubuntu2
2014-12-11 03:59:54 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2014-12-11 03:59:54 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2014-12-11 03:59:54 install libprocps3:i386 <none> 1:3.3.9-1ubuntu2
2014-12-11 03:59:54 status half-installed libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-11 03:59:54 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-11 03:59:54 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-11 03:59:54 install libselinux1:i386 <none> 2.2.2-1
2014-12-11 03:59:54 status half-installed libselinux1:i386 2.2.2-1
2014-12-11 03:59:54 status unpacked libselinux1:i386 2.2.2-1
2014-12-11 03:59:54 status unpacked libselinux1:i386 2.2.2-1
2014-12-11 03:59:54 install libsemanage-common:all <none> 2.2-1
2014-12-11 03:59:54 status half-installed libsemanage-common:all 2.2-1
2014-12-11 03:59:54 status unpacked libsemanage-common:all 2.2-1
2014-12-11 03:59:54 status unpacked libsemanage-common:all 2.2-1
2014-12-11 03:59:54 install libsemanage1:i386 <none> 2.2-1
2014-12-11 03:59:54 status half-installed libsemanage1:i386 2.2-1
2014-12-11 03:59:54 status unpacked libsemanage1:i386 2.2-1
2014-12-11 03:59:54 status unpacked libsemanage1:i386 2.2-1
2014-12-11 03:59:54 install libsepol1:i386 <none> 2.2-1
2014-12-11 03:59:54 status half-installed libsepol1:i386 2.2-1
2014-12-11 03:59:54 status unpacked libsepol1:i386 2.2-1
